"","indx","trigger1","trigger2","trigger3","context1","context2","context3","function1","function2","function3","content1","content2","content3","content4","time_start","time_end","duration","recur","singers_n","singers_age1","singers_age2","shape_type","appear_paint","appear_adorn","appear_cloth","appear_mask","appear_obj","restrict_sex","restrict_marry","restrict_grp1","restrict_grp2","audience_n","audience_age1","audience_age2","audience_sex","audience_marry","audience_grp1","audience_grp2","instrument_type1","instrument_type2","instrument_type3"
"517",517,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Adornment",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Midday (1000 to 1400)","Midday (1000 to 1400)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult","Child",".",".",".",".","Idiophone",".","."
"518",518,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Adornment",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Afternoon (1400 to 1700)","Afternoon (1400 to 1700)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"519",519,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance","Humor","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Midday (1000 to 1400)","Midday (1000 to 1400)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".","Aerophone",".","."
"520",520,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Midday (1000 to 1400)","Midday (1000 to 1400)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"521",521,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Dance",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Afternoon (1400 to 1700)","Afternoon (1400 to 1700)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"522",522,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","21-30 listeners","Adult",".",".",".",".",".",".",".","."
"523",523,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Tools and appliances (not weapons)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".","Midday (1000 to 1400)","Midday (1000 to 1400)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".","Idiophone",".","."
"524",524,"Annual cycle","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Afternoon (1400 to 1700)","Afternoon (1400 to 1700)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".","Idiophone",".","."
"525",525,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".","Afternoon (1400 to 1700)","Afternoon (1400 to 1700)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"526",526,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Food consumption",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Afternoon (1400 to 1700)","Afternoon (1400 to 1700)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".","Idiophone",".","."
"527",527,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Midday (1000 to 1400)","Midday (1000 to 1400)",".",".","2-5 singers",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"528",528,"Annual cycle","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Fire","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Afternoon (1400 to 1700)","Afternoon (1400 to 1700)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".","Idiophone",".","."
"529",529,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)","<10 min","No recurrence","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".","Idiophone",".","."
"530",530,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Fauna","Death (burials, funerals, mourning)","Ideas about nature and people","Climate","Midday (1000 to 1400)","Midday (1000 to 1400)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".","Idiophone",".","."
"531",531,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Ideas about nature and people","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".","Midday (1000 to 1400)","Midday (1000 to 1400)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"532",532,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Midday (1000 to 1400)","Midday (1000 to 1400)",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","21-30 listeners","Adult",".",".",".",".",".",".",".","."
"533",533,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)","1-10 hours","No recurrence","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"534",534,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Afternoon (1400 to 1700)","Afternoon (1400 to 1700)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".","Idiophone","Membranophone","."
"535",535,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Afternoon (1400 to 1700)","Afternoon (1400 to 1700)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".","Idiophone",".","."
"536",536,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Afternoon (1400 to 1700)","Afternoon (1400 to 1700)",".",".","Multiple singers (number unknown)",".",".",".",".","Torso",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"537",537,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Annual cycle",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Annual cycle","Water and thirst","Fauna","War","Midday (1000 to 1400)","Midday (1000 to 1400)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
